id,sintoma,sinonimos,sistema,peso,pergunta,fonte,status
SNT-306,escurecimento nas dobras da pele,acantose;pescoço escuro;axila escura,metabolico,3,A pele do seu pescoço ou axila está mais escura e aveludada?,rascunho-literatura-funcional,rascunho
SNT-307,irritação forte se atrasa a refeição,fica mal sem comer;tremor;hipoglicemia,metabolico,2,Você fica irritado ou trêmulo se atrasa uma refeição?,rascunho-literatura-funcional,rascunho
SNT-308,dificuldade de perder peso mesmo comendo pouco,peso empacado,metabolico,2,Você tem dificuldade de perder peso mesmo comendo pouco?,rascunho-literatura-funcional,rascunho
SNT-309,triglicerídeos altos ou HDL baixo,alteração no lipidograma,metabolico,3,Seus exames mostram triglicerídeos altos ou HDL baixo?,rascunho-literatura-funcional,rascunho
SNT-310,cansaço ao acordar mesmo dormindo,acorda sem energia,metabolico,2,Você acorda cansado mesmo tendo dormido o suficiente?,rascunho-literatura-funcional,rascunho
SNT-401,retenção de líquido,inchaço em pernas e pés;perna pesada,detox_linfatico,3,Você percebe inchaço nas pernas ou nos pés no fim do dia?,rascunho-literatura-funcional,rascunho
SNT-402,rosto inchado ao acordar,face inchada de manhã,detox_linfatico,2,Seu rosto amanhece inchado?,rascunho-literatura-funcional,rascunho
SNT-403,intolerância a cheiros fortes,enjoo com perfume;produto de limpeza incomoda,detox_linfatico,3,Cheiros fortes te incomodam mais do que incomodam as outras pessoas?,rascunho-literatura-funcional,rascunho
SNT-404,mal-estar com alimento gorduroso,enjoo com fritura;peso depois de gordura,detox_linfatico,2,Comida gordurosa te faz passar mal ou pesa muito?,rascunho-literatura-funcional,rascunho
SNT-405,intestino preso,constipação;evacua a cada dois dias ou mais,detox_linfatico,3,Você evacua todos os dias?,rascunho-literatura-funcional,rascunho
SNT-406,ressaca intensa com pouco álcool,fica mal no dia seguinte,detox_linfatico,2,Uma taça já te dá ressaca no dia seguinte?,rascunho-literatura-funcional,rascunho
SNT-407,sensibilidade a medicamento ou cafeína,reage forte a remédio;café tira o sono,detox_linfatico,2,Você reage muito forte a medicamento ou a café?,rascunho-literatura-funcional,rascunho
SNT-408,pele opaca e olheiras,pele sem viço;olheiras fundas,detox_linfatico,2,Sua pele está opaca ou com olheiras marcadas?,rascunho-literatura-funcional,rascunho
SNT-409,odor corporal forte,suor com odor forte,detox_linfatico,2,Seu suor tem odor forte?,rascunho-literatura-funcional,rascunho
SNT-410,celulite acentuada,pele em casca de laranja,detox_linfatico,1,Você tem celulite acentuada?,rascunho-literatura-funcional,rascunho
SNT-501,sono não reparador,acorda cansado;dorme mas não descansa,mental_emocional_espiritual,3,Você acorda cansado mesmo dormindo as horas necessárias?,rascunho-literatura-funcional,rascunho
SNT-502,dificuldade de dormir por pensamento acelerado,mente não desliga;cabeça a mil na cama,mental_emocional_espiritual,3,Você demora a dormir porque a cabeça não desliga?,rascunho-literatura-funcional,rascunho
SNT-503,despertar de madrugada,acorda entre 3 e 5 da manhã,mental_emocional_espiritual,2,Você acorda de madrugada e custa a voltar a dormir?,rascunho-literatura-funcional,rascunho
SNT-504,ansiedade antecipatória,preocupação com o que ainda não aconteceu,mental_emocional_espiritual,3,Você se preocupa muito com coisas que ainda nem aconteceram?,rascunho-literatura-funcional,rascunho
SNT-505,comer para acalmar emoção,come quando fica ansioso ou triste,mental_emocional_espiritual,3,Você come para se acalmar quando fica ansioso ou triste?,livro p. 90 (Trava do Trauma Alimentar),rascunho
SNT-506,estado de alerta constante,sempre tenso;esperando algo dar errado,mental_emocional_espiritual,3,Você sente que está sempre em alerta esperando algo dar errado?,rascunho-literatura-funcional,rascunho
SNT-507,não percebe fome nem saciedade,come por horário;não escuta o corpo,mental_emocional_espiritual,3,Você consegue perceber quando está com fome e quando já está satisfeito?,livro p. 91 (Trava da Desconexão Corpo-Mente),rascunho
SNT-508,dificuldade de concentração,mente dispersa;névoa mental,mental_emocional_espiritual,2,Você tem dificuldade de manter o foco em uma tarefa?,rascunho-literatura-funcional,rascunho
SNT-509,irritabilidade,pavio curto;perde a paciência fácil,mental_emocional_espiritual,2,Você perde a paciência com facilidade?,rascunho-literatura-funcional,rascunho
SNT-510,afastamento das pessoas,isolamento;evita convite,mental_emocional_espiritual,2,Você tem se afastado das pessoas?,rascunho-literatura-funcional,rascunho
